actual,estimate,period,symbol,year,quarter,beat,f1_pup,f2_vup,f3_bothup,f4_average_price
0.5,0.49103,2004-06-30,WMT,2004,2,1,0.43548387096774194,0.5161290322580645,0.1774193548387097,56.176935483870956
0.63,0.63276,2004-03-31,WMT,2004,1,0,0.5806451612903226,0.5161290322580645,0.3225806451612903,56.86209677419356
0.46,0.46667,2003-12-31,WMT,2003,4,0,0.421875,0.390625,0.140625,55.95984374999999
0.52,0.5179199999999999,2003-09-30,WMT,2003,3,1,0.59375,0.53125,0.28125,57.28984375000001
0.41,0.41739,2003-06-30,WMT,2003,2,0,0.5079365079365079,0.5238095238095238,0.2698412698412698,54.38793650793651
0.57,0.55842,2003-03-31,WMT,2003,1,1,0.5081967213114754,0.47540983606557374,0.26229508196721313,49.3772131147541
0.41,0.40217,2002-12-31,WMT,2002,4,1,0.5,0.4375,0.234375,53.2828125
0.46,0.45191,2002-09-30,WMT,2002,3,1,0.484375,0.515625,0.234375,51.6225
0.37,0.36182,2002-06-30,WMT,2002,2,1,0.390625,0.515625,0.171875,56.8875
0.49,0.48864,2002-03-31,WMT,2002,1,1,0.4,0.48333333333333334,0.23333333333333334,59.97833333333335
1.31,1.33,2019-12-31,VRSN,2019,4,0,0.453125,0.5625,0.25,187.88234375000005
1.36,1.31,2019-09-30,VRSN,2019,3,1,0.46875,0.5625,0.21875,205.5359375
1.33,1.29,2019-06-30,VRSN,2019,2,1,0.5555555555555556,0.49206349206349204,0.25396825396825395,196.35555555555555
1.31,1.25,2019-03-31,VRSN,2019,1,1,0.6557377049180327,0.5081967213114754,0.3442622950819672,171.55590163934423
1.58,1.20867,2018-12-31,VRSN,2018,4,1,0.4126984126984127,0.42857142857142855,0.20634920634920634,149.9698412698413
1.23,1.19475,2018-09-30,VRSN,2018,3,1,0.6666666666666666,0.47619047619047616,0.3492063492063492,153.22285714285718
1.18,1.135,2018-06-30,VRSN,2018,2,1,0.671875,0.53125,0.359375,128.21171875
